name;TIPOLOGIA;OID_;PARK_ID;area;Centroid_X;Centroid_Y;Perimeter;id;long;lat
Jardins da Água - Parque das Nações;;44;56;7180.7500000000;-9.0900000000;38.7600000000;607.2820000000;Lx072;-9.0955375111;38.7615578199
Alameda dos Oceanos (Parque das Nações);;45;57;36638.3900000000;-9.1000000000;38.7700000000;2731.6900000000;Lx073;-9.0957124366;38.7678771330
Jardim dos Jacarandás;;0;0;493.8300000000;-9.0900000000;38.7800000000;118.5170000000;Lx014;-9.0948036878;38.7788327907
Jardim dos Jacarandás;;0;0;493.8300000000;-9.0900000000;38.7800000000;118.5170000000;Lx014;-9.0947687193;38.7790879307
Jardim do Aqueduto das Águas Livres (Junto õ Calçada da Quintinha);;46;59;1347.4000000000;-9.1700000000;38.7300000000;145.0010000000;Lx074;-9.1663652249;38.7266707882
Jardim do Castelo de São Jorge;;47;60;30141.2600000000;-9.1300000000;38.7100000000;1326.4400000000;Lx075;-9.1330078535;38.7135004503
Jardim do Castelo de São Jorge;;47;60;30141.2600000000;-9.1300000000;38.7100000000;1326.4400000000;Lx075;-9.1336893838;38.7130546549
Eucaliptal de Benfica;;48;61;10864.4300000000;-9.2000000000;38.7600000000;485.9620000000;Lx076;-9.1995471427;38.7550777308
Jardim Júlio de Castilho;;49;62;1474.2400000000;-9.1300000000;38.7100000000;279.0830000000;Lx077;-9.1303637302;38.7113067429
Jardim Júlio de Castilho;;49;62;1474.2400000000;-9.1300000000;38.7100000000;279.0830000000;Lx077;-9.1301933346;38.7116711446
Jardim da Parada dos Prazeres - Praça São João Bosco;;50;63;6560.4700000000;-9.1700000000;38.7100000000;496.2220000000;Lx078;-9.1695933426;38.7146855332
Jardim da Parada dos Prazeres - Praça São João Bosco;;50;63;6560.4700000000;-9.1700000000;38.7100000000;496.2220000000;Lx078;-9.1691926396;38.7136653948
Jardim da Parada dos Prazeres - Praça São João Bosco;;50;63;6560.4700000000;-9.1700000000;38.7100000000;496.2220000000;Lx078;-9.1692343953;38.7141998955
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1868315979;38.7182655832
